source_index,target_index,source_cell_type,target_cell_type,distance_um,edge_cost,distance_decay_attention
612,7135,epithelial,epithelial,11.36667,0.38122737407684326,0.7367921
6755,1311,fibroblast,epithelial,26.560102,0.4831947088241577,0.73629284
6317,6241,epithelial,epithelial,9.90577,0.3343624770641327,0.76466
2312,2725,epithelial,epithelial,9.848675,0.33114978671073914,0.7668286
5988,1127,epithelial,epithelial,13.090262,0.4396015703678131,0.70304585
1797,1806,epithelial,epithelial,9.320857,0.31429511308670044,0.77712345
3203,5352,epithelial,endothelial,9.337669,0.31409206986427307,0.77736837
3707,3705,fibroblast,fibroblast,18.765966,0.6256593465805054,0.6061954
6457,1070,fibroblast,epithelial,16.331863,0.14115558564662933,0.96823883
1563,6643,epithelial,epithelial,11.006612,0.3707890510559082,0.7427382
5825,3180,epithelial,epithelial,10.729793,0.360277384519577,0.7492029
3157,3160,epithelial,epithelial,9.287174,0.31118378043174744,0.77937007
2696,3121,epithelial,epithelial,9.244894,0.31251344084739685,0.7781151
5351,5387,epithelial,epithelial,9.232933,0.3110695481300354,0.7791773
6643,6629,epithelial,epithelial,9.700711,0.3259427547454834,0.7700719
1985,1986,epithelial,epithelial,9.235292,0.309958279132843,0.78005594
3121,6767,epithelial,epithelial,9.133234,0.3098284602165222,0.77962655
4238,2268,epithelial,epithelial,9.153087,0.3096655607223511,0.7798568
6251,844,epithelial,epithelial,11.411304,0.38546621799468994,0.7338939
2834,4112,immune,epithelial,9.150473,0.3079177141189575,0.78120744
1361,1363,epithelial,epithelial,13.88734,0.46738719940185547,0.68742335
1618,1614,fibroblast,epithelial,13.124297,0.08749531209468842,1.0
1504,1562,epithelial,epithelial,9.091572,0.3059671223163605,0.78242546
6470,1104,epithelial,epithelial,18.172045,0.6107913851737976,0.6128443
5386,5753,epithelial,epithelial,9.533445,0.3227989673614502,0.7716358
907,902,epithelial,epithelial,10.758048,0.3616577982902527,0.7483103
4381,2106,epithelial,epithelial,9.076479,0.30430537462234497,0.78364784
5893,899,epithelial,epithelial,9.908979,0.33239424228668213,0.7661829
387,2126,epithelial,epithelial,9.3086405,0.31498855352401733,0.7765215
2488,2490,epithelial,epithelial,8.980719,0.3025365471839905,0.7845342
4280,4278,epithelial,epithelial,8.95764,0.30219998955726624,0.78467757
6782,6783,epithelial,epithelial,9.007649,0.30214181542396545,0.7849849
606,4550,epithelial,epithelial,10.175479,0.34513071179389954,0.7578315
5906,5901,epithelial,epithelial,8.977363,0.30191221833229065,0.78500664
2412,2428,fibroblast,epithelial,18.09887,0.2053142786026001,0.9188291
2104,2111,epithelial,epithelial,8.98664,0.30150753259658813,0.7853729
6052,6051,fibroblast,fibroblast,18.06361,0.6023138761520386,0.6176151
4517,4515,epithelial,epithelial,11.321404,0.3816557824611664,0.7362543
1464,2980,epithelial,epithelial,17.635466,0.6015142202377319,0.61634743
1748,1747,epithelial,epithelial,8.943921,0.3003600835800171,0.78605074
1945,1946,epithelial,epithelial,10.439974,0.3514174222946167,0.7544113
1462,1461,epithelial,epithelial,8.882394,0.2989780306816101,0.78681505
138,140,epithelial,epithelial,7.986779,0.26803067326545715,0.8067145
2314,2312,epithelial,epithelial,8.908392,0.29866862297058105,0.78719497
3718,3724,fibroblast,fibroblast,17.880075,0.5961475968360901,0.6206754
6334,6327,epithelial,epithelial,8.867054,0.297749787569046,0.7877015
2149,2147,epithelial,epithelial,8.779481,0.2969854176044464,0.7878437
2134,4594,epithelial,epithelial,10.09681,0.3435811996459961,0.75860876
6314,6317,epithelial,epithelial,8.766613,0.29601001739501953,0.7885449
584,582,epithelial,epithelial,8.825665,0.29600560665130615,0.7888589
327,326,epithelial,epithelial,9.021043,0.3050920367240906,0.7827423
5452,3274,epithelial,epithelial,17.347113,0.5911445021629333,0.621576
817,1241,epithelial,epithelial,12.466114,0.4189709424972534,0.71472067
1743,1698,epithelial,epithelial,8.808285,0.29507023096084595,0.7895056
3967,3965,fibroblast,fibroblast,17.678045,0.5894884467124939,0.62398136
4864,4871,epithelial,epithelial,10.456877,0.3514503836631775,0.7544714
1559,6629,epithelial,epithelial,8.734605,0.29401880502700806,0.78994805
4566,2012,epithelial,epithelial,12.680839,0.4288572669029236,0.7087033
5136,2945,epithelial,epithelial,14.51797,0.4901958107948303,0.6747525
4824,4825,epithelial,epithelial,8.843841,0.29664483666419983,0.7884503
1602,1608,epithelial,epithelial,8.670228,0.29234662652015686,0.79093057
3126,6883,epithelial,epithelial,11.285067,0.3798018991947174,0.7374418
4557,4561,epithelial,epithelial,12.346021,0.41773247718811035,0.71503365
387,383,epithelial,epithelial,8.645914,0.29085463285446167,0.7919831
4838,4844,fibroblast,epithelial,27.107925,0.5125518441200256,0.7176076
135,139,epithelial,epithelial,11.962093,0.4074694514274597,0.72056323
5546,2996,epithelial,epithelial,8.602637,0.28983986377716064,0.7925585
6731,6730,epithelial,epithelial,9.180464,0.30785566568374634,0.7814121
1168,1166,epithelial,epithelial,10.718813,0.3600011467933655,0.749355
889,890,epithelial,epithelial,8.596562,0.2889202833175659,0.7932555
4825,2164,epithelial,epithelial,8.587578,0.2885057032108307,0.79353696
898,6261,epithelial,epithelial,8.58704,0.28827300667762756,0.79371876
5749,3209,epithelial,epithelial,9.399053,0.31562960147857666,0.77649176
6570,948,fibroblast,epithelial,16.558167,0.14968577027320862,0.96146417
6663,6570,endothelial,fibroblast,8.6121235,0.2878853678703308,0.7941593
5389,5386,epithelial,epithelial,8.517914,0.2876780033111572,0.79382527
6665,6664,epithelial,epithelial,8.570173,0.28736773133277893,0.7943483
5281,5279,epithelial,epithelial,10.063317,0.3370375335216522,0.7634186
6731,1360,epithelial,epithelial,8.531543,0.2865835130214691,0.7947668
1363,1360,epithelial,epithelial,8.532726,0.2862984538078308,0.79499966
327,4488,epithelial,epithelial,8.413317,0.28611981868743896,0.79450893
3129,3127,epithelial,epithelial,10.147918,0.3401571214199066,0.76147014
6210,6211,epithelial,epithelial,8.513312,0.2858720123767853,0.7952358
3989,3983,fibroblast,epithelial,29.216253,0.5715378522872925,0.6860788
3258,5466,epithelial,epithelial,13.607203,0.4576813876628876,0.6928327
4390,2054,epithelial,epithelial,12.263566,0.4120851159095764,0.71868795
700,701,epithelial,epithelial,8.197522,0.28529155254364014,0.79402417
4761,2145,epithelial,epithelial,8.451926,0.28566378355026245,0.79507595
4665,4661,epithelial,epithelial,12.029067,0.4043946862220764,0.72310495
285,4449,epithelial,epithelial,8.965107,0.3010612428188324,0.78561074
4161,4094,epithelial,epithelial,12.125333,0.4067407250404358,0.72187364
465,4436,epithelial,epithelial,9.348163,0.3138797879219055,0.77758783
2313,7101,epithelial,epithelial,12.769632,0.42993301153182983,0.7083605
4592,4591,epithelial,epithelial,9.554658,0.32151684165000916,0.772735
5446,3253,epithelial,epithelial,10.770829,0.3621404469013214,0.748013
2143,4761,epithelial,epithelial,8.356276,0.2825961709022522,0.7970103
3935,3976,fibroblast,fibroblast,16.951504,0.5651883482933044,0.6362407
3582,3941,fibroblast,fibroblast,16.930584,0.5645128488540649,0.63658184
5197,3205,immune,epithelial,13.419342,0.45142674446105957,0.6963071
