cell_index,cell_id,cell_type,x_centroid,y_centroid,node_prize
6277,mlilphlk-1,epithelial,963.4139404296876,739.0036010742188,0.4851425290107727
6278,mljbmhad-1,fibroblast,977.3137817382812,703.4194946289062,2.2981314659118652
6279,mljchooh-1,fibroblast,976.0499877929688,664.7407836914062,1.836120367050171
6280,mllipbgh-1,immune,973.6304931640624,688.079833984375,0.44319069385528564
6282,mlmcmhob-1,fibroblast,962.0532836914062,659.6409912109375,2.512528896331787
6283,mlmeibpn-1,fibroblast,960.0653686523438,683.8973388671875,2.1835384368896484
6284,mlmldagd-1,fibroblast,966.8853149414062,668.9788818359375,3.500810980796814
6285,mlnocnbk-1,endothelial,976.4475708007812,527.3952026367188,0.9764008522033691
6286,mlnolppd-1,fibroblast,961.8347778320312,528.3814086914062,0.0
6287,mlpilhjd-1,fibroblast,965.26123046875,503.1552429199219,2.820995807647705
6288,mmafccmj-1,fibroblast,962.5848999023438,558.0859985351562,3.9155502319335938
6289,mmalodco-1,immune,960.4021606445312,575.4534912109375,2.2675371170043945
6290,mmambpai-1,immune,966.468505859375,569.7157592773438,1.731715440750122
6291,mmcecbai-1,fibroblast,977.1538696289062,561.080322265625,4.1684606075286865
6292,mmchenom-1,fibroblast,986.095458984375,552.1203002929688,4.223157525062561
6293,mmdgoiaj-1,fibroblast,993.1240844726562,555.660888671875,2.538241386413574
6294,mmdkjipk-1,fibroblast,988.9679565429688,563.024169921875,4.621372938156128
6295,mmegciem-1,immune,995.2806396484376,541.3193359375,1.276459813117981
6296,mmgcmcnk-1,fibroblast,988.713134765625,539.3316040039062,2.553687572479248
6297,mmgjnmoh-1,immune,980.493896484375,546.6226196289062,0.7289309501647949
6308,mmjmmclh-1,epithelial,965.5299072265624,415.2510986328125,0.4947400689125061
6314,mmniejeg-1,epithelial,984.4124755859376,327.24176025390625,0.38611900806427
6317,mmonchhg-1,epithelial,988.1358032226562,319.3051147460937,0.0
6327,mnglfkhd-1,epithelial,932.3871459960938,41.53116226196289,0.0
6334,mnllaalk-1,epithelial,923.8231201171876,43.82944488525391,0.5353365540504456
6335,mnmhephn-1,epithelial,921.7203369140624,31.746585845947266,0.330917626619339
6341,mnpafojl-1,epithelial,1066.02099609375,137.6697540283203,0.44932299852371216
6353,modpkhlh-1,epithelial,1068.63623046875,86.89283752441406,0.573675274848938
6356,mofeicfm-1,epithelial,1076.24267578125,84.19342803955078,0.0
6370,mokdadom-1,fibroblast,1023.7861938476562,14.443194389343262,2.3547301292419434
6373,molbahnp-1,epithelial,994.7166748046876,7.623578071594238,0.4851425290107727
6377,mongalgb-1,fibroblast,1011.0154418945312,13.038188934326172,2.4203808307647705
6378,monjcjda-1,epithelial,1002.4533081054688,25.99312973022461,0.0
6396,mpiilbid-1,epithelial,1154.607666015625,284.0077819824219,0.7151179909706116
6397,mpimbaij-1,epithelial,1159.0938720703125,292.9847717285156,0.0
6400,mpkheklb-1,fibroblast,1207.1368408203125,619.819580078125,0.44546765089035034
6402,mpldponc-1,epithelial,1215.4398193359375,654.4512939453125,0.44319069385528564
6403,mplfhmah-1,epithelial,1205.5794677734375,677.374755859375,0.0
6404,mplhbcbe-1,fibroblast,1220.232666015625,672.5203247070312,2.351266026496887
6405,mpmcmdag-1,fibroblast,1222.6435546875,682.5446166992188,2.6225350499153137
6410,mpnpffmd-1,fibroblast,1213.787841796875,606.5863037109375,3.097009062767029
6414,mppcphna-1,epithelial,1193.003662109375,727.5150146484375,0.0
6416,nabbhkii-1,epithelial,1223.92724609375,707.1881713867188,0.4286596179008484
6420,nacjjcpd-1,epithelial,1198.8505859375,711.583740234375,0.0
6421,nadehcih-1,fibroblast,1205.83984375,697.0772705078125,2.4417834281921387
6424,naehbial-1,epithelial,1161.5863037109375,743.5798950195312,1.0820001363754272
6427,naelhecf-1,fibroblast,1166.1817626953125,606.0963745117188,2.6596603393554688
6428,naeohecc-1,epithelial,1159.6392822265625,625.9468383789062,0.6479916572570801
6429,nafgghei-1,fibroblast,1175.044677734375,623.98681640625,2.257871150970459
6430,nagknhcg-1,fibroblast,1159.6734619140625,608.651123046875,2.5738468170166016
6436,naiebbnh-1,epithelial,1198.230224609375,647.6215209960938,0.0
6438,nakffkln-1,fibroblast,1187.55615234375,656.3193359375,0.6569399833679199
6439,nakhckki-1,fibroblast,1194.8648681640625,668.2591552734375,2.2291165590286255
6440,namckfga-1,epithelial,1182.871337890625,668.4305419921875,0.5685535073280334
6442,nankocjo-1,epithelial,1181.6087646484375,488.8242492675781,1.2233251333236694
6443,nanpfkpb-1,fibroblast,1188.11669921875,488.936767578125,0.0
6447,napgdiin-1,fibroblast,1205.2496337890625,528.9489135742188,2.0940842628479004
6448,napomnoc-1,immune,1216.494384765625,543.4932250976562,2.7156331539154053
6449,nappnllf-1,immune,1201.541015625,552.496826171875,2.0331034660339355
6450,nbailjke-1,fibroblast,1199.0985107421875,538.4348754882812,2.129889965057373
6451,nbaooklg-1,immune,1186.9285888671875,543.8035888671875,2.1412227153778076
6452,nbboccfi-1,fibroblast,1174.2138671875,546.3245239257812,2.6660690307617188
6453,nbbomcmb-1,fibroblast,1178.4029541015625,528.9913330078125,2.3198447227478027
6455,nbdcdmfo-1,fibroblast,1195.5797119140625,517.3089599609375,2.434868335723877
6456,nbdhgioh-1,epithelial,1222.608154296875,498.8489074707031,0.35797953605651855
6457,nbdiobad-1,fibroblast,1202.05126953125,508.4175720214844,0.0
6461,nbgcklpe-1,epithelial,1167.568359375,464.7561340332031,0.0
6462,nbgkhinh-1,epithelial,1161.1602783203125,449.9464111328125,0.0
6470,nbldnbil-1,epithelial,1144.0755615234375,656.3031005859375,0.3979164958000183
6480,nbpikhaf-1,fibroblast,1164.0780029296875,596.18701171875,0.6884234547615051
6481,ncabddka-1,epithelial,1157.3809814453125,613.635498046875,0.0
6482,ncbfklea-1,fibroblast,1180.76025390625,614.8026123046875,3.2806957960128784
6483,ncbkkeoc-1,fibroblast,1171.3187255859375,617.3737182617188,3.627285599708557
6484,ncbmccpj-1,fibroblast,1132.157470703125,617.0699462890625,0.0
6485,ncbpiabh-1,fibroblast,1134.91357421875,598.98291015625,2.7899646759033203
6486,ncbplofa-1,fibroblast,1149.431640625,613.5510864257812,0.0
6488,nccbabhf-1,fibroblast,1143.7335205078125,603.0686645507812,2.590715169906616
6489,ncccglfg-1,epithelial,1135.92919921875,544.10009765625,0.0
6490,nccdmgkg-1,fibroblast,1134.65576171875,569.5958251953125,2.692748546600342
6491,ncchgige-1,fibroblast,1134.2474365234375,587.6477661132812,2.5107524394989014
6492,nccmjjfc-1,fibroblast,1125.646728515625,598.4346923828125,0.0
6493,ncdkabhk-1,fibroblast,1143.9803466796875,550.5399169921875,0.0
6494,ncfikomc-1,immune,1163.1551513671875,576.5021362304688,0.7734783887863159
6495,ncfnbmad-1,immune,1173.5521240234375,577.9500732421875,2.21600341796875
6496,ncfpcfbb-1,fibroblast,1151.5709228515625,582.0835571289062,4.349609851837158
6498,nchenpno-1,immune,1163.8680419921875,569.7852783203125,2.921034097671509
6499,nchgennf-1,immune,1160.689453125,562.6279296875,2.1408820152282715
6500,nchkclij-1,fibroblast,1168.6336669921875,481.244873046875,0.0
6501,nciaebfn-1,endothelial,1158.4014892578125,478.9418640136719,0.8261768817901611
6504,ncjibodg-1,fibroblast,1135.1112060546875,527.43603515625,0.6567858457565308
6506,nclbpogm-1,fibroblast,1165.8427734375,535.476806640625,1.9026706218719482
6508,ncmbbhim-1,fibroblast,1172.7335205078125,495.0456237792969,1.4875186681747437
6511,ncnemfje-1,epithelial,1192.425048828125,457.7541198730469,0.4177730679512024
6512,ncnmdofa-1,epithelial,1176.6407470703125,470.283203125,0.37520939111709595
6517,ncpkamig-1,fibroblast,1159.2628173828125,405.6358947753906,0.0
6524,ndekdcpo-1,epithelial,1204.3603515625,315.9331970214844,0.5026859641075134
6543,ndlinpio-1,epithelial,1035.843994140625,169.22723388671875,0.0
6553,ndppahog-1,epithelial,1018.27783203125,155.36846923828125,0.5501070618629456
6554,neadebkb-1,epithelial,1008.2496337890624,149.4105987548828,0.37205392122268677
6559,nebpboia-1,fibroblast,1102.2432861328125,451.0409240722656,0.0
6563,nednigij-1,epithelial,1027.778564453125,243.32894897460935,0.43741554021835327
6568,nehjdbgi-1,epithelial,1047.514404296875,313.8554382324219,0.4416874945163727
6570,neiehldf-1,fibroblast,1081.6317138671875,290.7618103027344,0.0
